map,detail_num,title,lon,lat,map_thumbnail,image_num,caption
38,3802,"Savannah, Georgia",-81.122052,32.028102,3802.jpg,3802.jpg,"Savannah was one of America's first planned cities. Its founder, General James Oglethorpe, laid out the city in a series of grids that could be added onto for future growth. His plan allowed for wide streets and open public spaces."
41,4101,"""A fit place for a Fort""",-85.617948,35.350199,4101.jpg,,"This map notes this location as a “fit place for a Fort.” As colonists moved westward, the forts provided important security and supplies for these regions. Can you find the other forts on the map?"
44b,44b03,Louisbourg Fortress,-59.983006,45.891743,44a01.jpg,,"The details of the Louisbourg fort shows the positions of batteries of cannon and mortar, which are described in detail in the key."
44a,44a02,Early Map of Canada,-61.020832,46.298975,44a02.jpg,,This map was prepared 33 years before the first printed map was produced in Canada. It is one of the earliest maps made by a native French Canadian.
44b,44b01,Fire Exchanged,-59.996908,45.897594,44b01.jpg,,This map depicts the British victory over the French at Louisburg during the French and Indian War. The red lines represent the lines of fire exchanged between the two armies. Military officers could learn from battle maps like these to prepare themselves for future battles.
44b,44b02,Shading and Contours,-59.994724,45.900712,44b02.jpg,,The darker and lighter shaded areas on this map designate the contours of the landscape around the fort at Louisbourg.
45,4501,Fur Trade and Fishing,-53.020362,54.290786,4501.jpg,,Britain wanted to maintain control of this region because the exportation of furs and codfish generated sizable income for merchants. Profitable natural resources were abundant in Canada. The map emphasizes these resources with the North American beaver atop the cartouche and the detailed depiction of the fishing banks off the coast of Newfoundland and Nova Scotia.
45,4502,Canadian Takeover,-71.691479,45.101743,4502.jpg,,This map depicts the Northern British colonies at the beginning of the Revolutionary War. The first act of the American Continental Army was to invade Canada at the beginning of the war in 1775. Americans hoped the Canadians would support their cause.
46,4601,Halifax and the British Loyalists,-63.57873,44.641644,4601.jpg,,"During the French and Indian War, Halifax served as a British naval base and became Nova Scotia’s major city and port. Ten years after the creation of this map, British Loyalists and soldiers arrived at Halifax, Nova Scotia. The British evacuated Boston after the siege ended in May 1776."
46,4602,Soundings,-63.238637,44.686685,4602.jpg,,The numbers in the water are known as soundings. They measure the depth of the ocean floor and are used by ship captains to plot a safe passage through shallow waters.
47,4701,Shift to British Names,-63.357523,46.358264,4701.jpg,,"Samuel Holland surveyed St. John’s Island (modern-day Prince Edward Island). The plan was his first for the General Survey of North America, a series of systematic surveys executed according to the latest scientific principles. French and indigenous place names were changed to commemorate British royal figures, expressing the empire’s power in the region."
47,4702,Importance of Fishing,-62.935068,46.562193,4702.jpg,,"As shown in the intricate cartouche on this map, fishing was an extremely important industry. Holland received specific instructions from the Board of Trade to divide the island into a grid-system of counties, parishes, and townships of uniform size to make trade and industry more efficient."
48,4801,East and West Florida,-80.284276,31.158279,4801.jpg,,"Under British and Spanish rule, Florida was divided into two colonies: East Florida and West Florida. Spain ceded Florida to the United States in 1821, and the territory became a state in 1845."
48,4802,Disney World,-81.556335,28.387345,4802.jpg,,"Walt Disney World opened in 1971 here in Bay Lake, Florida. The park, designed by Walt Disney himself, was built as a supplement to Disneyland, which opened in 1955 in Anaheim, California."
48,4803,St. Augustine,-81.306744,29.888608,4803.jpg,,St. Augustine is the oldest continuously occupied European-established settlement and port in the continental United States. It was founded by the Spanish in 1565.
49,4901,Fort Ticonderoga,-73.38662,43.840613,4901.jpg,,"The British gained Fort Ticonderoga during the French and Indian War, but Americans took the fort in an action considered to be their first victory of the Revolutionary War. Afterward, American soldiers moved the cannons from the fort to Dorchester Heights, just outside of Boston. These weapons helped force the British to evacuate the city."
49,4902,Strategic Importance,-73.385889,43.842958,4902.jpg,,British surveyor William Brasier created this map of Fort Ticonderoga during the French and Indian War. The map shows the strategic placement of the fort at the high point of a peninsula. This location made attacking the fort more challenging.
51,5101,Troop Concentration,-72.161813,40.118865,5101.jpg,,"After the French and Indian War, British soldiers remained in the colonies to defend them. The map reveals the locations of the soldiers and the size of the forces in 1765. They were concentrated in the northeast."
51,5102,Boundaries in Flux,-81.263723,31.888373,5102.jpg,,"This 1765 map depicts the boundaries of the colonies, which look very different from those of twenty-first century states. For example, Massachusetts does not have its own boundaries; instead it is grouped together with the rest of New England."
51,5103,1763 Proclamation Line,-80.126114,36.999876,5103.jpg,,"After the French and Indian War, the British established the Proclamation Line of 1763 along the Appalachian Mountains. This line separated the eastern colonial settlements from Native American territories in the west. Colonists were not allowed to establish settlements in land west of the line."
56,5601,Castle Island,-71.011233,42.338303,5601.jpg,,"Castle Island served as a refuge for British authorities during the tumultuous period leading up to the Revolution. British soldiers went there after the Boston Massacre in 1770. After the British evacuated Boston in 1776, the island was renamed Fort Independence. Paul Revere commanded the post from 1778 to 1779 as a lieutenant colonel of militia."
56,5602,Watertown,-71.17363,42.361405,5602.jpg,,"Watertown was the center of revolutionary activity during the siege of Boston from 1775 to 1776. The Committees of Safety and Correspondence (essentially governing bodies in charge of the colonial militias) made the area their headquarters for a time in 1775. Many families who supported the revolution, including Paul Revere’s, left their homes in Boston and resided there during the siege."
56,5603,Lexington and Concord,-71.21741,42.418386,5603.jpg,,"This map shows the British regiments marching back to Boston after the Battles of Lexington and Concord. The mapmaker notes the “Provincials firing behind the walls” to illustrate the Minutemen’s tactic of firing at the Redcoats from behind trees, stone walls, houses, and sheds."
56,5604,Encampment on the Common,-71.067227,42.358198,5604.jpg,,"Boston Common, the oldest public park in the country, originally overlooked a bay. During the siege from 1775-76, the Common had trenches, artillery, and a powder house. About 1,700 British soldiers camped out there in preparation for a possible attack by George Washington’s troops."
58,5801,New Landscape,-71.143268,42.353364,5801.jpg,5801.jpg,"Pelham engraved a copy of the pass that gave him permission to examine the enemy lines two months after the Battle of Bunker Hill. Pelham described the landscape in and around Boston during the siege to his brother-in-law John Singleton Copley in a letter dated January 1776: “Not a Hillock 6 feet high but What is entrench’d, not a pass where a man could go but what is defended by Cannon;fences pulled down, houses removed, Woods grubed up, Fields cut into trenches and molded into Ramparts.”"
58,5802,Ralph Inman,-71.102534,42.372145,5802.jpg,,"Ralph Inman was a prominent Boston merchant and noted Loyalist during the revolution. He married businesswoman Elizabeth Murray in 1771. Inman fled to Boston during the siege, while Murray stayed in Cambridge to protect their estate. Inman Square in Cambridge is named for him."
58,5803,Harvard University,-71.115754,42.374417,5803.jpg,,"Established in 1636, Harvard is the country’s oldest institution of higher learning. It was originally called “New College” and was changed to “Harvard College” in 1639 for its first benefactor, prominent clergyman John Harvard. Over the years the campus has greatly expanded and officially took the name “Harvard University” in 1900."
60,6001,Maps Overlaid,-71.049044,42.374407,6001.jpg,6001.jpg,"Interactive layers of information on maps is a common feature in the digital age, but novel in the 18th century. Thomas Page included an innovative overlay on this map so that the viewer could see the initial attack that was repulsed. When lifted, the area beneath the overlay shows the progress of the British troops up the hill."
60,6002,Breeds and Bunker Hills,-71.060796,42.376367,6002.jpg,,"On June 16, 1775, American forces were under orders to fortify Bunker Hill, a 110-foot hill in Charlestown, but instead choose to fortify Breed’s Hill, which was smaller and closer to Boston. The ensuing bloody battle with British forces became known as the Battle of Bunker Hill, although the action took place on Breed’s Hill."
65,6501,"Newport, Rhode Island",-71.313738,41.488172,6501.jpg,,"Newport, Rhode Island was a significant port for the slave trade. By the end of the 18th century, Rhode Island merchants had mounted at least 1,000 voyages from Africa to the Americas. Newport is also home to the 1763 Touro synagogue, one of the oldest synagogues in the United States. It is still an active place of worship today."
65,6502,Brown University,-71.400923,41.82558,6502.jpg,,"Brown University was founded in 1764, the third college in New England and the seventh in colonial America. At the time of this map, it was called the College of Rhode Island. The name was changed to Brown in 1804 after a $5,000 gift from Nicholas Brown."
66,6601,Oysters,-74.07307,40.675208,6601.jpg,,"Oysters were a staple of the colonial diet, just as they were a staple in the diets of coastal Native Americans. While they have a reputation for being expensive today, they were affordable for poor city dwellers as well as the rich in the past."
66,6602,Location of Central Park,-73.966827,40.782642,6602.jpg,,"While lower Manhattan was densely settled in the 18th century, the area where Central Park is today was more pastoral. It had an irregular terrain of swamps, bluffs, and rocky areas with few residents."
66,6603,Manuscript Map,-73.842457,40.85851,6603.jpg,,This map is a great example of a manuscript (hand drawn) map. Note the visible individual brush strokes that represent the slope of a hill. Many of the small details on this map indicate the methods the mapmaker used to illustrate map features.
66,6604,Fort ,-73.891153,40.876,6604.jpg,,"This fort, labeled “Negro fort,” alludes to the presence of African American soldiers and inhabitants in New York City. While some African Americans lived freely in New York, the city was also home to slaves. The state emancipated all enslaved peoples in 1827."
69,6901,Independence Hall,-75.1633,39.951885,6901.jpg,,"Benjamin Franklin’s house once stood near Independence Hall on Market Street in what is now called Franklin Court. It was destroyed in the early 1800s, and few details survive about the appearance of the house."
69,6902,Germantown,-75.17604,40.035869,6902.jpg,,"The Battle of Germantown took place on October 4, 1777. While this battle was a defeat for George Washington and his army, it highlighted the increased professionalism and discipline of the American soldiers since the war had begun. The soldiers retired to Valley Forge for the winter shortly after this battle."
73,7302,Tadeusz Kościuszko,-73.65948,42.978441,7302.jpg,,"Tadeusz Kościuszko, a Polish army officer, made this plan of the battles of Saratoga. He came to the colonies to offer his support for their war for independence. Kościuszko’s participation reminds us that people of many different nationalities aided the colonists."
73,7301,Hachuring,-73.619947,43.010555,7301.jpg,,"Lines that radiate from high to low ground, called hachures, were a common method for a mapmaker to illustrate elevation changes in the 18th century. Here these lines are a telltale sign that this map is a manuscript, or an original drawing, of the battles of Saratoga."
74,7401,Rebels and Infantry,-75.188686,40.046271,7401.jpg,,"The title of this map, A Sketch of the Battle of German. Tn., 4th. October 1777, Where the Rebels Were Repulsed, demonstrates that even maps can have a bias. By referring to the colonists as “rebels,” the mapmaker reveals his allegiance to the British."
77,7701,Fine Details,-75.697745,37.168206,7701.jpg,,"The ships positioned at the entrance to the Chesapeake Bay make the fine details of this engraved map apparent. The delicate printed lines that make many of these ships unique are not found on similar manuscript maps, which artists draw by hand with paint or ink."
80,8001,Washington and Rochambeau,-76.529231,37.205166,8001.jpg,,"On the left above the map’s description are the quarters of the American General George Washington and the allied French general, the Comte de Rochambeau. These locations are symbolized by tents."
80,8002,Sinking Ships,-76.504758,37.238675,8002.jpg,,The top of the map depicts a naval battle on the York River. Ships are on fire and sinking. A key on the top left identifies each of the ship groupings.
82,8202,Battle Maps,-79.928013,32.781663,8202.jpg,,Maps such as this one were made after battles to record the locations of fortifications and the geography of certain locations. The “rebel” fortifications are noted on this map.
88,8801,Green Mountain State,-71.830444,42.968754,8801.jpg,8801.jpg,Vermont was known as the Green Mountain State. This decorative cartouche depicting pine trees and waterfalls represents the state’s natural beauty.
90,9001,Map Cartouche,-100.943169,34.983136,9001.jpg,9001.jpg,"The cartouche in the bottom left corner features the Great Seal of the United States. This map was published a year after the signing of the Treaty of Paris in 1783. The seal symbolized the establishment of the new nation, and the map referred to its future expansion. The motto E Pluribus Unum (one from many) is reminiscent of the phrase “we are one,” which appeared earlier on continental currency designed by Benjamin Franklin."
90,9002,Western State Names,-90.195404,44.075998,9002.jpg,,"The western states outlined on the map, now considered to be midwestern states, have a more rectangular shape than they do now. While the names of the states are different, some of them are familiar: such as “Illinoia” and “Michigania.”"
91,9101,Map Cartouche,-76.958233,38.926753,9101.jpg,9101.jpg,"In the top right corner of the map, two heralds hold an open book labeled the “Rights of Man.” The title refers to a book of the same name published in 1791 by Thomas Paine. He argued that citizens have the right to rebel against a government that does not protect their rights. One herald blows a trumpet announcing the establishment of the national capital. The other holds a liberty pole. A shield features two stripes and three stars, the design of the coat of arms for George Washington’s family. The city adopted the design for its flag in the early twentieth century."
91,9102,White House,-77.0368,38.897709,9102.jpg,,"This map of Washington, DC locates several recognizable landmarks. Ellicott notes the President’s House at the intersection at two major diagonal avenues. We now refer to this landmark as the White House. President Theodore Roosevelt made the White House the official name in 1901."
91,9103,Library of Congress,-77.004678,38.888604,9103.jpg,,"This is the current site of the Library of Congress, the largest library in the world and the first federal cultural institution. The library was originally located in the capitol building so that congressional representatives could access it. It was relocated across the street in 1897 when construction of the Jefferson Building was completed."
91,9104,Planned City,-77.03229,38.913895,9104.jpg,9104.jpg,"Frenchman Pierre L’Enfant created the plan for Washington, DC. His plan features a grid of streets intersected by diagonal avenues. Compare the organization of this city to Boston on John Bonner’s map."
92,9202,Frontier,-81.443875,39.42871,9202.jpg,,"Marietta, a town on the banks of the Ohio River, is the only major town on this map. In the late 18th century before the state was surveyed for settlement, Ohio was part of the American western frontier."
93,9301,Niagara Falls,-79.090298,43.085499,9301.jpg,,This map of Holland Land Company’s real estate interests in western New York includes the location of Niagara Falls. Two lines of text run across the map describing that the falls were formed out of a “horizontal Strata of Limestone” that is “about 450 Feet above the Surface of Lake Ontario.”
94,9401,Gideon Hawley,-70.579523,41.624026,9401.jpg,,"This plan of the Mashpee Reservation was made by an amateur mapmaker. Gideon Hawley, a Christian missionary to the Mashpee Indians, drew this map for Reverend Isaac Smith in 1785. Hawley likely created the boundaries based on his own survey of the landscape."
94,9402,Hawley's Manuscript,-70.483369,41.630071,9402.jpg,,"Gideon Hawley drew this map by hand. The manuscript contrasts with many of the printed maps in this collection. Even those printed maps, however, were based on original hand-drawn surveys like this one."
94,9403,Mashpee Meeting House,-70.463001,41.572279,9403.jpg,,"Gideon Hawley documented a Meeting House on the Mashpee land. Meeting Houses were an important part of New England politics and culture. Next to the Meeting House, Hawley noted that the Mashpee land included about 80 homes and 450 people."
97,9701,United States and France,-58.531274,36.132919,9701.jpg,9701.jpg,"Lattré’s map has a ship cartouche in the bottom right. The ship refers to the importance of French naval support for America’s victory. A sailor hangs from the sails symbols of the United States, including the Great Seal of the United States and the insignia of the Society of the Cincinnati (a hereditary society founded by Continental Army officers). On the right, a liberty pole and cap poke out from the sail. These symbols emphasize that the United States and France are champions of freedom. On the right, a trident (the weapon of the Poseidon, the powerful classical god of the sea) signifies French naval power."
97,9702,"New Lines, Old Survey",-72.649901,41.870418,9702.jpg,,"Lattré based his map on John Mitchell’s 1755 map of North America, the most authoritative map of the colonial period. Mapmakers did not necessarily base their maps on new surveys; they sometimes copied existing maps. Lattré supplied new information by adding the boundaries of the new nation and its states."
97,9703,Florida and the Bahamas,-71.892776,34.458278,9703.jpg,,Compare the outlines of Florida and the Bahamas on this map and a modern map. You can see that they differ greatly. Florida was not yet part of the United States.
98,9801,Iconic Cartouche,-56.527049,31.943076,9801.jpg,9801.jpg,"The decorative cartouche imagery in the lower right establishes the new iconography of the United States. The map features prominent political figures George Washington and Benjamin Franklin. Allegorical female figures, including Liberty and her liberty pole and the blindfolded Justice, also appear. The classical goddess Athena, who wears a helmet, symbolizes wisdom. Above the figures, a herald with a trumpet and laurel wreath (representing victory) announces the birth of the new nation symbolized by the American flag."
98,9802,New Western Limits,-84.370625,34.856014,9802.jpg,9802.jpg,"The Mississippi River became the new western boundary (colored green) of the United States. Under British rule, the Proclamation of 1763 had established this boundary closer to the east coast, along the Appalachians. This older line separated colonial settlements from Native American territories. On this map it is colored orange and labeled as the “Antient [Ancient] Boundary of the Back Settlements or Indian Nations.”"
98,9803,Louisiana Purchase,-96.371865,37.140558,9803.jpg,,"West of the Mississippi River is a Spanish territory labeled Louisiana. During Napoleon’s reign, France won this land from Spain. President Thomas Jefferson purchased the Louisiana Territory from Napoleon and made it part of the United States in 1803."
98,9804,Odd State Boundaries,-75.887561,42.825946,9804.jpg,,"After negotiating the boundaries of the United States with Great Britain, the new states had to negotiate their boundaries with each other. This map reflects the confusion over the new state boundaries. For example, the shape of New York State looks very different from its modern configuration. Maine and Vermont are not included because they were not yet states."
99,9901,Niagara Falls,-70.070446,32.56097,9901.jpg,9901.jpg,"The cartouche depicts Niagara Falls, which represented the sublime, untamed landscape of the United States. Two Native Americans converse near the top of the falls."
99,9902,New Western State Boundaries,-89.249969,33.236849,9902.jpg,,"After the establishment of the United States, the states began to negotiate firmer boundaries for their territories. Georgia claimed that its land extended all the way west to the Mississippi River, encompassing modern-day Alabama and Mississippi."
